2019-09-10,1150205,9.722755099349626e+23,3292,292281
2019-09-11,1158815,1.5647257638947866e+24,3303,294543
2019-09-12,1164566,2.5181820288365587e+24,3309,296628
2019-09-13,1177882,4.052621153607973e+24,3315,299475
2019-09-14,1185334,6.522061561315665e+24,3335,302013
2019-09-15,1190250,1.0496240679127182e+25,3349,304256
2019-09-16,1192155,1.6892062020331491e+25,3352,306235
2019-09-17,1199020,2.7185138757932264e+25,3363,308559
2019-09-18,1211882,4.375024010677461e+25,3375,311447
2019-09-19,1220825,7.040918666791522e+25,3382,313863
2019-09-20,1225623,1.1331260251688724e+26,3392,316219
2019-09-21,1236019,1.8235895764154635e+26,3405,318795
2019-09-22,1240335,2.934782953833865e+26,3417,321028
2019-09-23,1245813,4.7230753550609016e+26,3422,323116
2019-09-24,1253612,7.601053011583788e+26,3433,325452
2019-09-25,1267478,1.2232709101919882e+27,3446,328307
2019-09-26,1279362,1.9686637067804645e+27,3458,330720
2019-09-27,1297369,3.1682571359326535e+27,3494,334059
2019-09-28,1305118,5.0988156305294e+27,3508,336648
2019-09-29,1307091,8.205748371644654e+27,3515,338636
2019-09-30,1315050,1.3205871954965684e+28,3529,341097
2019-10-01,1320324,2.1252790872015943e+28,3536,343097
2019-10-02,1326418,3.4203051596286505e+28,3544,345226
2019-10-03,1334299,5.504447606636946e+28,3557,347396
2019-10-04,1346324,8.858549760951978e+28,3597,349890
2019-10-05,1351798,1.425645395782186e+29,3600,352038
2019-10-06,1356819,2.294353872090829e+29,3610,354284
2019-10-07,1364654,3.692404651221163e+29,3625,356604
2019-10-08,1369907,5.9423492924111316e+29,3632,358640
2019-10-09,1382994,9.563284214080044e+29,3647,361343
2019-10-10,1390027,1.5390614125640496e+30,3662,363574
2019-10-11,1396526,2.4768792588598283e+30,3682,365794
2019-10-12,1404287,3.986150788323206e+30,3698,368274
2019-10-13,1406973,6.415087877381644e+30,3703,370254
2019-10-14,1420368,1.032408322211019e+31,3714,372820
2019-10-15,1430986,1.6615001448828342e+31,3727,375374
2019-10-16,1436680,2.6739252987941625e+31,3734,377476
2019-10-17,1444718,4.303265651557103e+31,3744,379792
2019-10-18,1463724,6.925434781675512e+31,3783,382916
2019-10-19,1489203,1.1145406953411395e+32,3815,386727
2019-10-20,1496217,1.7936793872614845e+32,3823,389103
2019-10-21,1508182,2.886647170206724e+32,3836,391770
